x,y
55.0,59.0
46.0,57.0
41.333333333333336,65.33333333333333
49.666666666666664,66.33333333333333
52.666666666666664,56.0
43.0,69.5
49.0,67.0
52.4,57.0
46.5,69.0
49.0,53.0
41.0,58.0
49.0,65.0
53.0,57.5
48.0,66.5
53.0,60.0
44.333333333333336,55.666666666666664
51.0,54.25
46.5,55.0
42.0,69.5
47.333333333333336,56.0
38.5,62.5
47.6,53.2
51.5,53.5
44.0,54.0
52.333333333333336,58.0
51.0,67.0
43.0,68.5
45.0,52.0
52.2,57.6
39.0,60.5
51.25,58.5
45.0,55.0
45.5,68.5
53.0,55.0
49.0,66.0
54.0,59.0
46.5,55.0
31.5,69.5
51.0,55.666666666666664
5.0,123.0
43.0,57.5
50.5,56.5
42.0,58.0
27.0,75.0
46.0,52.5
53.0,59.0
45.333333333333336,55.0
32.0,69.0
49.75,55.0
54.0,57.0
46.5,54.5
52.0,66.0
49.666666666666664,55.333333333333336
39.0,78.0
43.5,55.5
49.0,55.5
38.0,62.0
52.5,55.5
46.0,68.0
51.5,58.5
55.0,57.0
46.0,68.0
55.0,58.5
35.0,68.0
50.0,60.0
44.0,68.33333333333333
37.0,64.0
52.0,54.5
2.0,44.0
42.333333333333336,56.333333333333336
52.5,57.0
51.0,66.0
50.333333333333336,54.333333333333336
52.0,64.0
48.0,57.5
13.0,85.0
47.57142857142857,54.285714285714285
49.0,64.5
53.0,59.0
42.5,55.0
32.0,70.0
46.5,55.5
41.5,55.0
53.5,56.5
43.25,55.5
50.5,54.5
34.0,69.0
50.5,59.5
44.0,52.0
49.0,64.5
48.0,54.0
27.0,87.0
38.5,61.0
51.0,64.0
47.5,55.5
46.0,68.0
50.5,55.5
46.0,55.5
53.0,65.0
47.5,52.0
7.0,64.0
41.0,56.333333333333336
51.0,52.0
45.666666666666664,54.0
50.6,59.0
38.0,61.0
50.333333333333336,60.333333333333336
39.0,59.0
46.5,67.5
52.0,58.5
37.0,63.0
49.0,65.5
43.0,53.0
50.0,53.5
41.0,57.0
43.5,52.0
52.0,55.0
48.0,63.0
44.0,55.0
52.0,55.333333333333336
49.0,53.25
49.0,66.5
45.0,54.5
37.0,63.0
49.0,55.666666666666664
49.333333333333336,64.0
51.0,54.25
49.6,56.0
41.0,57.666666666666664
53.0,65.0
44.333333333333336,52.666666666666664
48.4,54.0
44.0,68.5
51.5,56.5
40.0,58.0
48.5,61.5
46.0,52.0
37.0,62.0
52.0,57.0
43.0,54.5
45.5,67.0
39.0,60.0
51.0,66.0
46.0,52.0
43.0,67.0
43.5,55.0
41.5,71.0
50.5,58.5
44.0,56.0
50.166666666666664,54.166666666666664
48.5,65.5
39.5,69.0
51.0,65.0
51.5,54.5
33.0,67.0
52.0,54.5
36.0,62.5
48.666666666666664,55.0
41.0,71.0
50.0,57.5
46.0,54.0
41.0,57.5
43.333333333333336,54.666666666666664
31.0,71.0
46.5,54.5
50.0,55.666666666666664
38.0,61.0
51.5,53.5
41.0,56.0
47.0,53.0
38.5,60.5
42.0,69.0
40.0,56.5
46.833333333333336,55.0
41.0,69.0
49.333333333333336,56.0
42.0,54.0
49.5,52.5
35.0,66.0
47.666666666666664,55.666666666666664
49.5,62.0
47.0,52.0
50.0,65.0
43.333333333333336,54.666666666666664
48.5,54.0
49.0,66.0
50.0,56.5
41.0,57.5
47.4,56.4
52.0,54.0
49.5,62.5
42.0,68.5
50.0,63.0
46.5,51.0
47.0,67.0
52.5,58.0
49.0,52.0
40.5,57.5
51.0,55.0
44.0,53.0
47.0,54.0
49.0,60.0
41.0,57.0
52.0,57.0
44.0,55.0
50.0,58.5
43.0,51.0
36.0,63.5
47.0,52.333333333333336
41.0,56.0
49.25,62.75
34.0,68.0
51.5,54.0
49.0,66.0
45.5,53.5
50.0,53.0
58.0,56.0
41.25,55.5
45.5,67.0
45.5,54.5
48.333333333333336,66.33333333333333
39.0,90.0
51.0,62.0
48.0,51.0
51.0,56.0
39.0,70.0
45.5,66.0
33.0,67.0
46.5,52.5
48.0,62.0
46.5,53.5
37.0,61.0
51.0,63.0
39.5,57.0
47.5,64.5
43.0,52.0
52.0,64.0
45.0,52.5
49.5,53.5
42.5,52.0
47.25,63.5
50.0,55.0
59.0,52.0
50.0,55.833333333333336
49.0,63.0
44.5,53.5
51.0,52.5
48.0,64.5
46.75,54.5
51.0,58.0
43.0,53.5
49.333333333333336,55.666666666666664
42.666666666666664,55.0
51.333333333333336,56.333333333333336
38.0,60.0
46.0,53.5
51.0,65.0
44.666666666666664,55.666666666666664
43.0,68.0
42.666666666666664,52.666666666666664
39.0,71.0
46.0,53.5
19.0,80.0
50.0,53.5
36.333333333333336,61.333333333333336
42.0,51.0
50.0,55.0
38.0,75.0
48.5,52.0
42.5,54.0
50.0,59.5
48.5,65.5
47.5,59.5
53.0,56.0
45.0,53.5
49.5,63.0
45.333333333333336,53.0
46.5,65.0
50.0,51.0
43.0,54.0
48.5,62.5
43.0,50.0
44.0,57.25
52.0,54.5
49.0,66.0
50.5,54.0
43.0,51.5
47.0,58.0
42.75,53.5
50.0,53.5
39.0,57.0
49.666666666666664,54.666666666666664
48.5,56.5
37.5,59.5
48.5,55.5
47.0,68.0
44.0,53.5
48.5,60.0
44.0,66.0
47.333333333333336,52.0
49.0,63.5
40.5,56.5
51.0,55.5
42.0,68.0
41.0,56.0
51.0,66.0
43.25,52.5
48.0,65.33333333333333
40.0,71.0
48.0,56.5
35.0,65.0
48.75,54.5
50.0,55.333333333333336
43.5,52.0
50.5,53.25
37.0,60.0
42.666666666666664,54.0
50.5,54.0
42.5,67.0
41.5,55.5
49.0,66.0
48.5,61.0
41.0,69.0
47.5,66.0
44.666666666666664,54.333333333333336
36.0,62.0
45.5,51.5
