timestamp,x,y
1470000000000000.0,43,108
1470000000000000.0,73,109
1470000000000000.0,71,110
1470000000000000.0,55,110
1470000000000000.0,65,114
1470000000000000.0,71,108
1470000000000000.0,71,110
1470000000000000.0,70,100
1470000000000000.0,71,108
1470000000000000.0,55,110
1470000000000000.0,71,110
1470000000000000.0,60,109
1470000000000000.0,57,109
1470000000000000.0,55,110
1470000000000000.0,69,110
1470000000000000.0,71,108
1470000000000000.0,73,110
1470000000000000.0,71,110
1470000000000000.0,81,109
1470000000000000.0,71,110
1470000000000000.0,82,108
1470000000000000.0,71,108
1470000000000000.0,56,109
1470000000000000.0,43,110
1470000000000000.0,73,109
1470000000000000.0,56,110
1470000000000000.0,81,109
1470000000000000.0,73,109
1470000000000000.0,71,109
1470000000000000.0,81,109
1470000000000000.0,57,108
1470000000000000.0,62,112
1470000000000000.0,74,110
1470000000000000.0,86,97
1470000000000000.0,57,111
1470000000000000.0,54,109
1470000000000000.0,56,109
1470000000000000.0,57,110
1470000000000000.0,61,110
1470000000000000.0,72,109
1470000000000000.0,73,98
1470000000000000.0,56,108
1470000000000000.0,55,109
1470000000000000.0,60,110
1470000000000000.0,56,107
1470000000000000.0,80,109
1470000000000000.0,64,112
1470000000000000.0,75,109
1470000000000000.0,53,107
1470000000000000.0,71,107
1470000000000000.0,74,109
1470000000000000.0,59,108
1470000000000000.0,81,108
1470000000000000.0,47,30
1470000000000000.0,73,107
1470000000000000.0,73,110
1470000000000000.0,73,106
1470000000000000.0,61,111
1470000000000000.0,71,109
1470000000000000.0,61,55
1470000000000000.0,67,118
1470000000000000.0,54,106
1470000000000000.0,71,107
1470000000000000.0,79,98
1470000000000000.0,68,100
1470000000000000.0,83,98
1470000000000000.0,55,107
1470000000000000.0,56,118
1470000000000000.0,57,109
1470000000000000.0,54,108
1470000000000000.0,62,111
1470000000000000.0,57,110
1470000000000000.0,63,112
1470000000000000.0,61,111
1470000000000000.0,67,118
1470000000000000.0,75,93
1470000000000000.0,71,109
1470000000000000.0,56,107
1470000000000000.0,69,102
